hexal_id,receptor_channel,raytracer_receptor_type,node_id,node_type,u,v,frame_id,global_indices,lens_indices,receptor_type,position_x_um,position_y_um,position_z_um,direction_x,direction_y,direction_z,colours_r_uv,colours_g,colours_b,intensity,matched
0,0,0,0,R1,-15,0,1,0,0,0,-275.42218017578125,182.94577026367188,108.02725982666016,-0.1284849494695663,0.6701815128326416,0.7309913635253906,0.2614570260047912,0.3061108589172363,0.3980829119682312,0.3218835890293121,True
0,1,1,721,R2,-15,0,1,1,0,1,-275.42218017578125,182.94577026367188,108.02725982666016,-0.2198655903339386,0.6715423464775085,0.7075945138931274,0.3729082345962524,0.4113279581069946,0.4792456924915313,0.4211606085300445,True
0,2,2,1442,R3,-15,0,1,2,0,2,-275.42218017578125,182.94577026367188,108.02725982666016,-0.3045234084129333,0.6742280721664429,0.6728164553642273,0.2218822389841079,0.2658084630966186,0.3602567911148071,0.2826491594314575,True
0,3,3,2163,R4,-15,0,1,3,0,3,-275.42218017578125,182.94577026367188,108.02725982666016,-0.2409541606903076,0.7316498160362244,0.6376752257347107,0.4707043170928955,0.5017579793930054,0.5436475276947021,0.5053699612617493,True
0,4,4,2884,R5,-15,0,1,4,0,4,-275.42218017578125,182.94577026367188,108.02725982666016,-0.178230807185173,0.7822193503379822,0.5969645380973816,0.4200557172298431,0.4551543295383453,0.5094773769378662,0.4615624845027923,True
0,5,5,3605,R6,-15,0,1,5,0,5,-275.42218017578125,182.94577026367188,108.02725982666016,-0.0924694091081619,0.776759147644043,0.6229724287986755,0.4088201224803924,0.438756912946701,0.4899982511997223,0.4458584487438202,True
0,6,6,4326,R7,-15,0,1,6,0,6,-275.42218017578125,182.94577026367188,108.02725982666016,-0.1560829281806945,0.7297893166542053,0.6656167507171631,0.4981031715869903,0.104722075164318,0.335585206747055,0.3128034770488739,True
0,7,6,5047,R8,-15,0,1,6,0,6,-275.42218017578125,182.94577026367188,108.02725982666016,-0.1560829281806945,0.7297893166542053,0.6656167507171631,0.4981031715869903,0.104722075164318,0.335585206747055,0.3128034770488739,True
1,0,0,1,R1,-15,1,1,7,1,0,-272.1398010253906,193.58831787109372,96.1009750366211,-0.1223083287477493,0.7295880913734436,0.6728609800338745,0.4627587497234344,0.4898809790611267,0.5336201190948486,0.4954199492931366,True
1,1,1,722,R2,-15,1,1,8,1,1,-272.1398010253906,193.58831787109372,96.1009750366211,-0.2124930024147033,0.7336286306381226,0.6454732418060303,0.4854965806007385,0.5145161747932434,0.5541506409645081,0.5180544853210449,True
1,2,2,1443,R3,-15,1,1,9,1,2,-272.1398010253906,193.58831787109372,96.1009750366211,-0.2954484522342682,0.7377893328666687,0.6069408059120178,0.4567939937114715,0.491148978471756,0.538836658000946,0.4955932199954986,True
1,3,3,2164,R4,-15,1,1,10,1,3,-272.1398010253906,193.58831787109372,96.1009750366211,-0.2276287823915481,0.7891751527786255,0.5704277157783508,0.4002978503704071,0.4395034313201904,0.4991695880889892,0.4463236331939697,True
1,4,4,2885,R5,-15,1,1,11,1,4,-272.1398010253906,193.58831787109372,96.1009750366211,-0.1607891023159027,0.8333526849746704,0.5288385152816772,0.2110186070203781,0.2526213526725769,0.336888313293457,0.2668427526950836,True
1,5,5,3606,R6,-15,1,1,12,1,5,-272.1398010253906,193.58831787109372,96.1009750366211,-0.0765288695693016,0.8257044553756714,0.558887779712677,0.1857146024703979,0.22491055727005,0.3096040487289428,0.240076407790184,True
1,6,6,4327,R7,-15,1,1,13,1,6,-272.1398010253906,193.58831787109372,96.1009750366211,-0.1441459953784942,0.7853031158447266,0.6020970940589905,0.395892471075058,0.0870130881667137,0.2985535562038421,0.260486364364624,True
1,7,6,5048,R8,-15,1,1,13,1,6,-272.1398010253906,193.58831787109372,96.1009750366211,-0.1441459953784942,0.7853031158447266,0.6020970940589905,0.395892471075058,0.0870130881667137,0.2985535562038421,0.260486364364624,True
2,0,0,2,R1,-15,2,1,14,2,0,-270.2723388671875,201.71636962890625,85.08694458007812,-0.1194134503602981,0.7788407802581787,0.6157495379447937,0.4660344123840332,0.5033172965049744,0.5633131861686707,0.5108882784843445,True
