frame_id,global_indices,lens_indices,receptor_type,position_x_um,position_y_um,position_z_um,direction_x,direction_y,direction_z,colours_r_uv,colours_g,colours_b,intensity
1,0,0,0,-275.42218017578125,182.94577026367188,108.02725982666016,-0.12848494946956635,0.6701815128326416,0.7309913635253906,0.26145702600479126,0.30611085891723633,0.3980829119682312,0.32188358902931213
1,1,0,1,-275.42218017578125,182.94577026367188,108.02725982666016,-0.2198655903339386,0.6715423464775085,0.7075945138931274,0.37290823459625244,0.41132795810699463,0.47924569249153137,0.42116060853004456
1,2,0,2,-275.42218017578125,182.94577026367188,108.02725982666016,-0.30452340841293335,0.6742280721664429,0.6728164553642273,0.22188223898410797,0.26580846309661865,0.36025679111480713,0.2826491594314575
1,3,0,3,-275.42218017578125,182.94577026367188,108.02725982666016,-0.24095416069030762,0.7316498160362244,0.6376752257347107,0.4707043170928955,0.5017579793930054,0.5436475276947021,0.5053699612617493
1,4,0,4,-275.42218017578125,182.94577026367188,108.02725982666016,-0.17823080718517303,0.7822193503379822,0.5969645380973816,0.42005571722984314,0.45515432953834534,0.5094773769378662,0.46156248450279236
1,5,0,5,-275.42218017578125,182.94577026367188,108.02725982666016,-0.09246940910816193,0.776759147644043,0.6229724287986755,0.40882012248039246,0.43875691294670105,0.4899982511997223,0.4458584487438202
1,6,0,6,-275.42218017578125,182.94577026367188,108.02725982666016,-0.15608292818069458,0.7297893166542053,0.6656167507171631,0.49810317158699036,0.10472207516431808,0.33558520674705505,0.3128034770488739
1,7,1,0,-272.1398010253906,193.58831787109375,96.1009750366211,-0.12230832874774933,0.7295880913734436,0.6728609800338745,0.46275874972343445,0.4898809790611267,0.5336201190948486,0.4954199492931366
1,8,1,1,-272.1398010253906,193.58831787109375,96.1009750366211,-0.21249300241470337,0.7336286306381226,0.6454732418060303,0.4854965806007385,0.5145161747932434,0.5541506409645081,0.5180544853210449
1,9,1,2,-272.1398010253906,193.58831787109375,96.1009750366211,-0.2954484522342682,0.7377893328666687,0.6069408059120178,0.45679399371147156,0.491148978471756,0.538836658000946,0.49559321999549866
1,10,1,3,-272.1398010253906,193.58831787109375,96.1009750366211,-0.22762878239154816,0.7891751527786255,0.5704277157783508,0.4002978503704071,0.43950343132019043,0.49916958808898926,0.4463236331939697
1,11,1,4,-272.1398010253906,193.58831787109375,96.1009750366211,-0.1607891023159027,0.8333526849746704,0.5288385152816772,0.2110186070203781,0.2526213526725769,0.33688831329345703,0.2668427526950836
1,12,1,5,-272.1398010253906,193.58831787109375,96.1009750366211,-0.0765288695693016,0.8257044553756714,0.558887779712677,0.18571460247039795,0.22491055727005005,0.30960404872894287,0.24007640779018402
1,13,1,6,-272.1398010253906,193.58831787109375,96.1009750366211,-0.14414599537849426,0.7853031158447266,0.6020970940589905,0.395892471075058,0.08701308816671371,0.29855355620384216,0.260486364364624
1,14,2,0,-270.2723388671875,201.71636962890625,85.08694458007812,-0.11941345036029816,0.7788407802581787,0.6157495379447937,0.4660344123840332,0.5033172965049744,0.5633131861686707,0.5108882784843445
1,15,2,1,-270.2723388671875,201.71636962890625,85.08694458007812,-0.20868995785713196,0.7832840085029602,0.5855891704559326,0.4798135757446289,0.5190935730934143,0.5772929787635803,0.5254000425338745
1,16,2,2,-270.2723388671875,201.71636962890625,85.08694458007812,-0.2904438376426697,0.7868590950965881,0.5445137023925781,0.4067637622356415,0.4526006281375885,0.5256043672561646,0.46165624260902405
1,17,2,3,-270.2723388671875,201.71636962890625,85.08694458007812,-0.22025343775749207,0.8336962461471558,0.50639808177948,0.2389947474002838,0.28607866168022156,0.38000985980033875,0.30169442296028137
1,18,2,4,-270.2723388671875,201.71636962890625,85.08694458007812,-0.1511116772890091,0.873008668422699,0.4637036919593811,0.062303632497787476,0.1000971794128418,0.19907374680042267,0.12049152702093124
1,19,2,5,-270.2723388671875,201.71636962890625,85.08694458007812,-0.0679277703166008,0.8653147220611572,0.4966047704219818,0.05645220726728439,0.09435191005468369,0.19468086957931519,0.11516165733337402
1,20,2,6,-270.2723388671875,201.71636962890625,85.08694458007812,-0.1377825140953064,0.8299039602279663,0.5406249761581421,0.27909624576568604,0.06559724360704422,0.2527379095554352,0.19914381206035614
1,21,3,0,-267.6960754394531,207.82843017578125,75.67650604248047,-0.1126224547624588,0.8176228404045105,0.5646318197250366,0.339377760887146,0.3910957872867584,0.4891541302204132,0.4065425395965576
1,22,3,1,-267.6960754394531,207.82843017578125,75.67650604248047,-0.20093269646167755,0.8226643204689026,0.5318359732627869,0.35985374450683594,0.41378018260002136,0.5114777684211731,0.42837056517601013
1,23,3,2,-267.6960754394531,207.82843017578125,75.67650604248047,-0.2814716398715973,0.8259743452072144,0.48840561509132385,0.24672438204288483,0.300820529460907,0.4103057384490967,0.31928354501724243
1,24,3,3,-267.6960754394531,207.82843017578125,75.67650604248047,-0.20900750160217285,0.8684905767440796,0.4494886100292206,0.11602234095335007,0.16469939053058624,0.27961087226867676,0.1867775321006775
1,25,3,4,-267.6960754394531,207.82843017578125,75.67650604248047,-0.13769103586673737,0.9032502174377441,0.4064236879348755,0.02592030167579651,0.06302598118782043,0.16959336400032043,0.08617988228797913
1,26,3,5,-267.6960754394531,207.82843017578125,75.67650604248047,-0.055632732808589935,0.8952969312667847,0.44198235869407654,0.029008207842707634,0.06726835668087006,0.17597532272338867,0.09075063467025757
1,27,3,6,-267.6960754394531,207.82843017578125,75.67650604248047,-0.12758305668830872,0.8645300269126892,0.48611772060394287,0.07168503850698471,0.02325957827270031,0.13865716755390167,0.07786726206541061
1,28,4,0,-261.3206481933594,213.8910675048828,65.54617309570312,-0.08759347349405289,0.8573368787765503,0.5072483420372009,0.10066726803779602,0.15276165306568146,0.28313443064689636,0.17885446548461914
1,29,4,1,-261.3206481933594,213.8910675048828,65.54617309570312,-0.17519880831241608,0.8635725975036621,0.4728083908557892,0.13229364156723022,0.18608352541923523,0.3147886395454407,0.21105527877807617
1,30,4,2,-261.3206481933594,213.8910675048828,65.54617309570312,-0.2549688518047333,0.8670700788497925,0.4279957711696625,0.15018531680107117,0.20456387102603912,0.33099183440208435,0.22858035564422607
1,31,4,3,-261.3206481933594,213.8910675048828,65.54617309570312,-0.18037784099578857,0.9040579795837402,0.3874829113483429,0.03204019367694855,0.07410366833209991,0.1939649134874344,0.10003626346588135
1,32,4,4,-261.3206481933594,213.8910675048828,65.54617309570312,-0.10718585550785065,0.9330790042877197,0.34332895278930664,0.022546200081706047,0.061146724969148636,0.17503505945205688,0.08624265342950821
1,33,4,5,-261.3206481933594,213.8910675048828,65.54617309570312,-0.025978289544582367,0.9243663549423218,0.380620539188385,0.02582131326198578,0.06600537151098251,0.18228468298912048,0.09137045592069626
1,34,4,6,-261.3206481933594,213.8910675048828,65.54617309570312,-0.09965980052947998,0.8994222283363342,0.4255673289299011,0.025121506303548813,0.01330054085701704,0.11191139370203018,0.05011114478111267
1,35,5,0,-295.36407470703125,166.35789489746094,118.87157440185547,-0.2010168582201004,0.5926274657249451,0.7799903154373169,0.0959000438451767,0.1636192947626114,0.32750433683395386,0.19567455351352692
1,36,5,1,-295.36407470703125,166.35789489746094,118.87157440185547,-0.29231253266334534,0.5823622345924377,0.7585563063621521,0.04294342175126076,0.10697415471076965,0.27639180421829224,0.14210312068462372
1,37,5,2,-295.36407470703125,166.35789489746094,118.87157440185547,-0.3774869740009308,0.575160562992096,0.7257367968559265,0.036594077944755554,0.10013888031244278,0.2722495496273041,0.13632750511169434
1,38,5,3,-295.36407470703125,166.35789489746094,118.87157440185547,-0.32385480403900146,0.6434551477432251,0.6936018466949463,0.08510161191225052,0.14078550040721893,0.28645431995391846,0.1707804799079895
1,39,5,4,-295.36407470703125,166.35789489746094,118.87157440185547,-0.27024683356285095,0.7052470445632935,0.6554336547851562,0.47698596119880676,0.5197482705116272,0.5878969430923462,0.5282104015350342
1,40,5,5,-295.36407470703125,166.35789489746094,118.87157440185547,-0.1838463842868805,0.7104732394218445,0.6792851090431213,0.5632960796356201,0.5960595607757568,0.6450557112693787,0.6014704704284668
1,41,5,6,-295.36407470703125,166.35789489746094,118.87157440185547,-0.2387915402650833,0.651972770690918,0.7196597456932068,0.264416366815567,0.06455981731414795,0.2658115029335022,0.19826257228851318
1,42,6,0,-293.2130432128906,177.4748992919922,108.73577117919922,-0.20356586575508118,0.6478914022445679,0.7340283989906311,0.2974731922149658,0.34628716111183167,0.4426898658275604,0.36215007305145264
1,43,6,1,-293.2130432128906,177.4748992919922,108.73577117919922,-0.2938985526561737,0.6429389715194702,0.7072857618331909,0.10255572944879532,0.1531340479850769,0.2808215320110321,0.1788371056318283
1,44,6,2,-293.2130432128906,177.4748992919922,108.73577117919922,-0.377218633890152,0.6399701833724976,0.6694357991218567,0.057995352894067764,0.10806504637002945,0.24119509756565094,0.13575182855129242
1,45,6,3,-293.2130432128906,177.4748992919922,108.73577117919922,-0.3168138265609741,0.7023996114730835,0.6373882293701172,0.38065969944000244,0.4222981929779053,0.49379220604896545,0.4322500228881836
1,46,6,4,-293.2130432128906,177.4748992919922,108.73577117919922,-0.25654855370521545,0.7580184936523438,0.5996589064598083,0.4741734266281128,0.5107426047325134,0.5623914003372192,0.5157691836357117
1,47,6,5,-293.2130432128906,177.4748992919922,108.73577117919922,-0.1716093122959137,0.7584335803985596,0.6287517547607422,0.49393990635871887,0.5262603759765625,0.5726217031478882,0.5309406518936157
1,48,6,6,-293.2130432128906,177.4748992919922,108.73577117919922,-0.23309563100337982,0.7063102722167969,0.6684251427650452,0.518510103225708,0.10979663580656052,0.3535601496696472,0.327288955450058
1,49,7,0,-291.9693908691406,188.11302185058594,96.95497131347656,-0.206643745303154,0.7066896557807922,0.6766743063926697,0.4634402096271515,0.49205464124679565,0.5349742770195007,0.4968230724334717
1,50,7,1,-291.9693908691406,188.11302185058594,96.95497131347656,-0.29602524638175964,0.7029262781143188,0.6467331051826477,0.3762305974960327,0.4145582318305969,0.4774780571460724,0.422755628824234
1,51,7,2,-291.9693908691406,188.11302185058594,96.95497131347656,-0.37791046500205994,0.7000813484191895,0.6058628559112549,0.3009958863258362,0.3444424867630005,0.4228161573410034,0.35608482360839844
1,52,7,3,-291.9693908691406,188.11302185058594,96.95497131347656,-0.3140377104282379,0.7578560709953308,0.5718692541122437,0.42419084906578064,0.4605066478252411,0.5132453441619873,0.4659809172153473
1,53,7,4,-291.9693908691406,188.11302185058594,96.95497131347656,-0.2503456473350525,0.8084306120872498,0.532697856426239,0.32944247126579285,0.3709254562854767,0.4411553740501404,0.38050779700279236
1,54,7,5,-291.9693908691406,188.11302185058594,96.95497131347656,-0.1666090041399002,0.8080313801765442,0.565090000629425,0.32486656308174133,0.36511340737342834,0.43584707379341125,0.37527570128440857
1,55,7,6,-291.9693908691406,188.11302185058594,96.95497131347656,-0.23146246373653412,0.7611259818077087,0.6058980226516724,0.45683926343917847,0.09773322194814682,0.3192082643508911,0.2912602424621582
1,56,8,0,-288.91375732421875,197.12586975097656,85.86672973632812,-0.20057857036590576,0.7589519023895264,0.6194838285446167,0.4786452054977417,0.5128214359283447,0.5630472898483276,0.5181713104248047
1,57,8,1,-288.91375732421875,197.12586975097656,85.86672973632812,-0.28906553983688354,0.7563126683235168,0.586883544921875,0.4654763340950012,0.503147542476654,0.5577706098556519,0.5087981820106506
1,58,8,2,-288.91375732421875,197.12586975097656,85.86672973632812,-0.36969101428985596,0.7535614371299744,0.5435749888420105,0.36953508853912354,0.4137771725654602,0.4851997196674347,0.42283734679222107
1,59,8,3,-288.91375732421875,197.12586975097656,85.86672973632812,-0.3026459515094757,0.8065138459205627,0.5078787803649902,0.2730603814125061,0.31776344776153564,0.40201011300086975,0.33094465732574463
1,60,8,4,-288.91375732421875,197.12586975097656,85.86672973632812,-0.23589392006397247,0.851934552192688,0.46750566363334656,0.17633464932441711,0.22129273414611816,0.3153582215309143,0.23766188323497772
1,61,8,5,-288.91375732421875,197.12586975097656,85.86672973632812,-0.1532791554927826,0.8507960438728333,0.5026445984840393,0.14529210329055786,0.18724291026592255,0.28138673305511475,0.20464058220386505
1,62,8,6,-288.91375732421875,197.12586975097656,85.86672973632812,-0.22110271453857422,0.8091884851455688,0.5443598031997681,0.37254345417022705,0.08350179344415665,0.29451823234558105,0.25018784403800964
1,63,9,0,-285.5643310546875,204.69593811035156,75.0347671508789,-0.19189879298210144,0.80549156665802,0.5606765747070312,0.4238957464694977,0.4736849069595337,0.5583180785179138,0.48529958724975586
1,64,9,1,-285.5643310546875,204.69593811035156,75.0347671508789,-0.27951499819755554,0.8033931851387024,0.5257668495178223,0.36422964930534363,0.416797012090683,0.5096282362937927,0.43021830916404724
1,65,9,2,-285.5643310546875,204.69593811035156,75.0347671508789,-0.3589922785758972,0.8002040982246399,0.48041433095932007,0.17293408513069153,0.22527122497558594,0.34087610244750977,0.24636046588420868
1,66,9,3,-285.5643310546875,204.69593811035156,75.0347671508789,-0.28929126262664795,0.8484660387039185,0.4431883990764618,0.130146786570549,0.17985358834266663,0.2940540313720703,0.20135146379470825
1,67,9,4,-285.5643310546875,204.69593811035156,75.0347671508789,-0.22000695765018463,0.8889064788818359,0.40179869532585144,0.07750242203474045,0.11950372159481049,0.2263769954442978,0.14112770557403564
1,68,9,5,-285.5643310546875,204.69593811035156,75.0347671508789,-0.1384512335062027,0.8875952363014221,0.43932440876960754,0.04211356118321419,0.0812879428267479,0.18850569427013397,0.10396906733512878
1,69,9,6,-285.5643310546875,204.69593811035156,75.0347671508789,-0.2087157815694809,0.851082444190979,0.4817638099193573,0.16415594518184662,0.04315179958939552,0.19748452305793762,0.13493074476718903
1,70,10,0,-280.3057861328125,211.33824157714844,64.52705383300781,-0.1734035313129425,0.8478668332099915,0.5010519623756409,0.21225419640541077,0.2681245505809784,0.38948798179626465,0.28995558619499207
1,71,10,1,-280.3057861328125,211.33824157714844,64.52705383300781,-0.26029953360557556,0.8465357422828674,0.46435046195983887,0.21350900828838348,0.27201154828071594,0.3967958986759186,0.29410549998283386
1,72,10,2,-280.3057861328125,211.33824157714844,64.52705383300781,-0.33888936042785645,0.8431214690208435,0.41749271750450134,0.06188831105828285,0.10918086767196655,0.2363366186618805,0.13580192625522614
1,73,10,3,-280.3057861328125,211.33824157714844,64.52705383300781,-0.26669445633888245,0.8862438201904297,0.3787425756454468,0.07344365119934082,0.11958184093236923,0.24017782509326935,0.14440111815929413
1,74,10,4,-280.3057861328125,211.33824157714844,64.52705383300781,-0.195120170712471,0.921301007270813,0.3363519012928009,0.02180543541908264,0.05999182164669037,0.17254860699176788,0.0847819522023201
1,75,10,5,-280.3057861328125,211.33824157714844,64.52705383300781,-0.11445949971675873,0.9196251034736633,0.37575089931488037,0.022928666323423386,0.061706699430942535,0.17503975331783295,0.08655837178230286
1,76,10,6,-280.3057861328125,211.33824157714844,64.52705383300781,-0.18688908219337463,0.8885899782180786,0.4189036786556244,0.050454918295145035,0.018863825127482414,0.12855899333953857,0.06595924496650696
1,77,11,0,-271.42510986328125,216.9852752685547,55.2525749206543,-0.13648003339767456,0.8843290209770203,0.4464699625968933,0.05863643437623978,0.10556403547525406,0.23331403732299805,0.13250483572483063
1,78,11,1,-271.42510986328125,216.9852752685547,55.2525749206543,-0.2230599969625473,0.8848479390144348,0.4090089499950409,0.10012026131153107,0.15116511285305023,0.2795902192592621,0.17695851624011993
1,79,11,2,-271.42510986328125,216.9852752685547,55.2525749206543,-0.3013661801815033,0.8822728395462036,0.361625611782074,0.04339786246418953,0.08923313021659851,0.21699421107769012,0.11654173582792282
1,80,11,3,-271.42510986328125,216.9852752685547,55.2525749206543,-0.2269018292427063,0.9194715023040771,0.3210727274417877,0.02707292139530182,0.06827204674482346,0.18816985189914703,0.0945049449801445
1,81,11,4,-271.42510986328125,216.9852752685547,55.2525749206543,-0.15341520309448242,0.9484346508979797,0.27737244963645935,0.021943246945738792,0.06072841212153435,0.17561928927898407,0.08609697967767715
1,82,11,5,-271.42510986328125,216.9852752685547,55.2525749206543,-0.07322739064693451,0.9453781843185425,0.3176441788673401,0.02287597395479679,0.06218428909778595,0.17818155884742737,0.08774727582931519
1,83,11,6,-271.42510986328125,216.9852752685547,55.2525749206543,-0.14738188683986664,0.920512318611145,0.3618503212928772,0.023769063875079155,0.012920673936605453,0.11057387292385101,0.04908787086606026
